X,Y,V
1.0,11.0,13.0
17.0,6.0,0.0
25.0,12.0,18.0
31.0,10.0,6.0
43.0,2.0,5.0
56.0,13.0,10.0
68.0,10.0,3.0
78.0,11.0,5.0
86.0,2.0,11.0
99.0,6.0,6.0
6.0,18.0,14.0
12.0,26.0,12.0
28.0,22.0,7.0
35.0,24.0,5.0
46.0,19.0,19.0
55.0,16.0,7.0
61.0,21.0,4.0
79.0,14.0,1.0
89.0,24.0,11.0
93.0,22.0,18.0
2.0,36.0,15.0
18.0,31.0,4.0
21.0,39.0,17.0
35.0,38.0,12.0
47.0,37.0,4.0
58.0,29.0,15.0
64.0,33.0,1.0
75.0,27.0,7.0
86.0,29.0,8.0
98.0,35.0,16.0
10.0,49.0,15.0
14.0,52.0,12.0
25.0,44.0,10.0
40.0,44.0,19.0
41.0,46.0,18.0
58.0,42.0,9.0
65.0,41.0,2.0
77.0,46.0,12.0
84.0,42.0,13.0
96.0,48.0,5.0
10.0,58.0,12.0
12.0,63.0,18.0
27.0,62.0,5.0
31.0,57.0,12.0
48.0,63.0,7.0
55.0,63.0,4.0
69.0,58.0,10.0
79.0,56.0,12.0
83.0,61.0,13.0
97.0,54.0,0.0
9.0,68.0,17.0
19.0,66.0,10.0
28.0,76.0,2.0
38.0,74.0,17.0
45.0,75.0,7.0
53.0,76.0,4.0
66.0,71.0,6.0
76.0,73.0,11.0
81.0,67.0,14.0
93.0,67.0,7.0
5.0,87.0,18.0
17.0,85.0,6.0
29.0,86.0,13.0
31.0,88.0,17.0
46.0,87.0,18.0
56.0,86.0,1.0
61.0,86.0,0.0
78.0,82.0,11.0
87.0,79.0,17.0
94.0,84.0,0.0
10.0,94.0,3.0
13.0,97.0,6.0
30.0,103.0,2.0
31.0,95.0,4.0
49.0,92.0,18.0
59.0,95.0,0.0
70.0,95.0,8.0
75.0,100.0,7.0
82.0,99.0,15.0
96.0,102.0,3.0
10.0,113.0,16.0
15.0,110.0,10.0
25.0,115.0,7.0
34.0,107.0,7.0
44.0,105.0,13.0
52.0,106.0,6.0
68.0,114.0,6.0
77.0,111.0,11.0
88.0,107.0,14.0
100.0,111.0,3.0
10.0,119.0,18.0
15.0,127.0,9.0
25.0,123.0,5.0
32.0,122.0,5.0
43.0,121.0,11.0
57.0,126.0,1.0
67.0,122.0,14.0
80.0,119.0,9.0
84.0,119.0,12.0
94.0,130.0,3.0
